
AE3AE38BONOS ARGENTINA USD 2038 L.A,"AR$ 16.780,00","2,82%",431.825.601,"0,25 %","16.500,00","16.400,00","16.800,00","4,70",20:00,Ver detalle  Operar
AE3AE38CBONOS ARGENTINA USD 2038 L.A,"US$ 33,00","0,00%",0,"0,25 %","0,00","0,00","0,00","4,66",10/07/2023,Ver detalle  Operar
AE3AE38DBONOS ARGENTINA USD 2038 L.A,"US$ 34,90","3,56%",194.107,"0,25 %","34,00","33,50","36,00","4,71",20:00,Ver detalle  Operar
AL2AL29BONOS ARGENTINA USD 2029 1%  L.A,"AR$ 15.250,00","3,04%",84.280.680,"0,46 %","14.927,00","14.900,00","15.282,00","2,39",20:00,Ver detalle  Operar
AL2AL29CBONOS ARGENTINA USD 2029 1%  L.A,"US$ 29,50","0,00%",0,"0,00 %","0,00","0,00","0,00","0,00",10/07/2023,Ver detalle  Operar
AL2AL29DBONOS ARGENTINA USD 2029 1%  L.A,"US$ 33,50","10,05%",39.058,"0,45 %","30,50","30,45","33,50","2,41",20:00,Ver detalle  Operar
AL3AL30BONOS ARGENTINA USD 2030 L.A,"AR$ 14.642,00","2,68%",22.954.568.361,"0,44 %","14.399,00","14.399,00","14.730,00","2,42",20:00,Ver detalle  Operar
AL3AL30CBONOS ARGENTINA USD 2030 L.A,"US$ 29,26","2,70%",1.180.735,"0,45 %","28,50","28,50","29,30","2,41",19:52,Ver detalle  Operar
AL3AL30DBONOS ARGENTINA USD 2030 L.A,"US$ 30,14","2,73%",17.386.972,"0,43 %","29,35","29,30","30,25","2,44",20:00,Ver detalle  Operar
AL3AL35BONOS ARGENTINA USD 2035 L.A,"AR$ 15.325,00","2,86%",305.417.403,"0,24 %","15.200,00","14.913,00","15.593,50","5,60",20:00,Ver detalle  Operar
AL3AL35CBONOS ARGENTINA USD 2035 L.A,"US$ 19,75","0,00%",0,"0,00 %","0,00","0,00","0,00","0,00",10/07/2023,Ver detalle  Operar
AL3AL35DBONOS ARGENTINA USD 2035 L.A,"US$ 31,50","4,20%",94.533,"0,23 %","30,22","30,00","31,75","5,62",20:00,Ver detalle  Operar
AL4AL41BONOS ARGENTINA USD 2041 L.A,"AR$ 15.100,00","2,37%",205.953.493,"0,22 %","14.800,00","14.611,50","15.300,00","5,58",19:56,Ver detalle  Operar
AL4AL41CBONOS ARGENTINA USD 2041 L.A,"US$ 27,75","0,00%",0,"0,00 %","0,00","0,00","0,00","0,00",10/07/2023,Ver detalle  Operar
AL4AL41DBONOS ARGENTINA USD 2041 L.A,"US$ 31,00","0,37%",163.876,"0,21 %","30,01","30,00","32,49","5,70",19:54,Ver detalle  Operar
"CUACUAPCuasipar CER + 3,31","AR$ 5.300,00","0,00%",217.992,"0,09 %","5.250,00","5.090,00","5.350,00","10,93",19:52,Ver detalle  Operar
